name,size,type,alignment,ac,hp,move,str,dex,con,int,wis,cha,challenge,saves,total_save_bonus,skills,senses,languages,damage_vulnerabilities,damage_resistances,damage_immunities,condition_immunities,DPR,attack_bonus,
Ancient Green Dragon,Gargantuan,dragon,lawful evil,21,385,"40 ft., fly 80 ft., swim 40 ft.",27,12,25,20,17,19,22,"DEX +8, CON +14, WIS +10, CHA +11",16,"Deception +11, Insight +10, Perception +17, Persuasion +11, Stealth +8","Blindsight 60 ft., Darkvision 120 ft.,  Passive Perception 27","Common, Draconic",,,Poison,Poisoned,73,15,
Ancient Red Dragon,Gargantuan,dragon,chaotic evil,22,546,"40 ft., climb 40 ft., fly 80 ft.",30,10,29,18,15,23,24,"DEX +7, CON +16, WIS +9, CHA +13",27,"Perception +16, Stealth +7","Blindsight 60 ft., Darkvision 120 ft.,  Passive Perception 26","Common, Draconic",,,Fire,,69,17,
Ancient Silver Dragon,Gargantuan,dragon,lawful good,22,487,"40 ft., fly 80 ft.",30,10,29,18,15,23,23,"DEX +7, CON +16, WIS +9, CHA +13",27,"Arcana +11, History +11, Perception +16, Stealth +7","Blindsight 60 ft., Darkvision 120 ft.,  Passive Perception 26","Common, Draconic",,,Cold,,55,17,
Ancient White Dragon,Gargantuan,dragon,chaotic evil,20,333,"40 ft., burrow 40 ft., fly 80 ft., swim 40 ft.",26,10,26,10,13,14,20,"DEX +6, CON +14, WIS +7, CHA +8",26,"Perception +13, Stealth +6","Blindsight 60 ft., Darkvision 120 ft.,  Passive Perception 23","Common, Draconic",,,Cold,,58,14,
Androsphinx,Large,monstrosity,lawful neutral,17,199,"40 ft., fly 60 ft.",22,10,20,16,18,23,17,"DEX +6, CON +11, INT +9, WIS +10",18,"Arcana +9, Perception +10, Religion +15","Truesight 120 ft.,  Passive Perception 20","Common, Sphinx",,,"Psychic; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks","Charmed, Frightened",34,12,
Animated Armor,Medium,construct,unaligned,18,33,25 ft.,14,11,13,1,3,1,1,,0,,"Blindsight 60 ft. (blind beyond this radius),  Passive Perception 6",--,,,"Poison, Psychic","Blinded, Charmed, Deafened, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned",11,4,
Ankheg,Large,monstrosity,unaligned,14,39,"30 ft., burrow 10 ft.",17,11,13,1,13,6,2,,0,,"Darkvision 60 ft., Tremorsense 60 ft.,  Passive Perception 11",--,,,,,13.5,5,
Ankylosaurus,Huge,beast,unaligned,15,68,30 ft.,19,11,15,2,12,5,3,,0,,Passive Perception 11,--,,,,,18,7,
Ape,Medium,beast,unaligned,12,19,"30 ft., climb 30 ft.",16,14,14,6,12,7,0.5,,0,"Athletics +5, Perception +3",Passive Perception 13,--,,,,,13,5,
Archmage,Medium,humanoid,any alignment,12,99,30 ft.,10,14,12,20,15,16,12,"INT +9, WIS +6",15,"Arcana +13, History +13",Passive Perception 12,Any six languages,,"Damage from Spells; Nonmagical Bludgeoning, Piercing, and Slashing (from Stoneskin)",,,4.5,6,
Assassin,Medium,humanoid,any non-good alignment,15,78,30 ft.,11,16,14,13,11,10,8,"DEX +6, INT +4",10,"Acrobatics +6, Deception +3, Perception +3, Stealth +9",Passive Perception 13,Thieves' cant plus any two languages,,Poison,,,62,6, 
Awakened Shrub,Small,plant,unaligned,9,10,20 ft.,3,8,11,10,10,6,0,,0,,Passive Perception 10,One language known by its creator,Fire,Piercing,,,1.5,1,
Awakened Tree,Huge,plant,unaligned,13,59,20 ft.,19,6,15,10,10,7,2,,0,,Passive Perception 10,One language known by its creator,Fire,"Bludgeoning, Piercing",,,14.5,6,
Axe Beak,Large,beast,unaligned,11,19,50 ft.,14,12,12,2,10,5,0.25,,0,,Passive Perception 10,--,,,,,6.5,4,
Azer,Medium,elemental,lawful neutral,17,39,30 ft.,17,12,15,12,13,10,2,CON +4,4,,Passive Perception 11,Ignan,,,"Fire, Poison",Poisoned,11,5,
Baboon,Small,beast,unaligned,12,3,"30 ft., climb 30 ft.",8,14,11,4,12,6,0,,0,,Passive Perception 11,--,,,,,1.5,1,
Badger,Tiny,beast,unaligned,10,3,"20 ft., burrow 5 ft.",4,11,12,2,12,5,0,,0,,"Darkvision 30 ft.,  Passive Perception 11",--,,,,,1,2,
Balor,Huge,fiend,chaotic evil,19,262,"40 ft., fly 80 ft.",26,15,22,20,16,22,19,"STR +14, CON +12, WIS +9, CHA +12",20,,"Truesight 120 ft.,  Passive Perception 13","Abyssal, Telepathy 120 ft.",,"Cold, Lightning; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks","Fire, Poison",Poisoned,60.5,14,
Bandit,Medium,humanoid,any non-lawful alignment,12,11,30 ft.,11,12,12,10,10,10,0.125,,0,,Passive Perception 10,Any one language (usually Common),,,,,4.5,3,
Bandit Captain,Medium,humanoid,any non-lawful alignment,15,65,30 ft.,15,16,14,14,11,14,2,"STR +4, DEX +5, WIS +2",11,"Athletics +4, Deception +4",Passive Perception 10,Any two languages,,,,,17.5,5,
Banshee,Medium,undead,chaotic evil,12,58,"0 ft., fly 40 ft. (hover)",1,14,10,12,11,17,4,"WIS +2, CHA +5",7,,"Darkvision 60 ft.,  Passive Perception 10","Common, Elvish",,"Acid, Fire, Lightning, Thunder; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks","Cold, Necrotic, Poison","Charmed, Exhaustion, Frightened, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained",12.5,4,
Barbed Devil,Medium,fiend,lawful evil,15,110,30 ft.,16,17,18,12,14,14,5,"STR +6, CON +7, WIS +5, CHA +5",23,"Deception +5, Insight +5, Perception +8","Darkvision 120 ft.,  Passive Perception 18","Infernal, Telepathy 120 ft.",,"Cold; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks that aren't Silvered","Fire, Poison",Poisoned,23.5,6,
Basilisk,Medium,monstrosity,unaligned,15,52,20 ft.,16,8,15,2,8,7,3,,0,,"Darkvision 60 ft.,  Passive Perception 9",--,,,,,17,5,
Bat,Tiny,beast,unaligned,12,1,"5 ft., fly 30 ft.",2,15,8,2,12,4,0,,0,,"Blindsight 60 ft.,  Passive Perception 11",--,,,,,1,0,
Bearded Devil,Medium,fiend,lawful evil,13,52,30 ft.,16,15,15,9,11,11,3,"STR +5, CON +4, WIS +2",11,,"Darkvision 120 ft.,  Passive Perception 10","Infernal, Telepathy 120 ft.",,"Cold; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks that aren't Silvered","Fire, Poison",Poisoned,20.5,5,
Behir,Huge,monstrosity,neutral evil,17,168,"50 ft., climb 40 ft.",23,16,18,7,14,12,11,,0,"Perception +6, Stealth +7","Darkvision 90 ft.,  Passive Perception 16",Draconic,,,Lightning,,56.5,10,
Berserker,Medium,humanoid,any chaotic alignment,13,67,30 ft.,16,12,17,9,11,9,2,,0,,Passive Perception 10,Any one language (usually Common),,,,,9.5,5,
Black Bear,Medium,beast,unaligned,11,19,"40 ft., climb 30 ft.",15,10,14,2,12,7,0.5,,0,Perception +3,Passive Perception 13,--,,,,,12.5,4,
Black Dragon Wyrmling,Medium,dragon,chaotic evil,17,33,"30 ft., fly 60 ft., swim 30 ft.",15,14,13,10,11,13,2,"DEX +4, CON +3, WIS +2, CHA +3",12,"Perception +4, Stealth +4","Blindsight 10 ft., Darkvision 60 ft.,  Passive Perception 14",Draconic,,,Acid,,10,4,
Black Pudding,Large,ooze,unaligned,7,85,"20 ft., climb 20 ft.",16,5,16,1,6,1,4,,0,,"Blindsight 60 ft. (blind beyond this radius),  Passive Perception 8",--,,,"Acid, Cold, Lightning, Slashing","Blinded, Charmed, Deafened, Exhaustion, Frightened, Prone",24.5,5,
Blink Dog,Medium,fey,lawful good,13,22,40 ft.,12,17,12,10,13,11,0.25,,0,"Perception +3, Stealth +5",Passive Perception 13,"Blink Dog  , understands Sylvan but can't speak it",,,,,4.5,3,
Blood Hawk,Small,beast,unaligned,12,7,"10 ft., fly 60 ft.",6,14,10,3,14,5,0.125,,0,Perception +4,Passive Perception 14,--,,,,,4.5,4,
Blue Dragon Wyrmling,Medium,dragon,lawful evil,17,52,"30 ft., burrow 15 ft., fly 60 ft.",17,10,15,12,11,15,3,"DEX +2, CON +4, WIS +2, CHA +4",12,"Perception +4, Stealth +2","Blindsight 10 ft., Darkvision 60 ft.,  Passive Perception 14",Draconic,,,Lightning,,,,
Boar,Medium,beast,unaligned,11,11,40 ft.,13,11,12,2,9,5,0.25,,0,,Passive Perception 9,--,,,,,,,
Bone Devil,Large,fiend,lawful evil,19,142,"40 ft., fly 40 ft.",18,16,18,13,14,16,9,"INT +5, WIS +6, CHA +7",18,"Deception +7, Insight +6","Darkvision 120 ft.,  Passive Perception 12","Infernal, Telepathy 120 ft.",,"Cold; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks that aren't Silvered","Fire, Poison",Poisoned,,,
Brass Dragon Wyrmling,Medium,dragon,chaotic good,16,16,"30 ft., burrow 15 ft., fly 60 ft.",15,10,13,10,11,13,1,"DEX +2, CON +3, WIS +2, CHA +3",10,"Perception +4, Stealth +2","Blindsight 10 ft., Darkvision 60 ft.,  Passive Perception 14",Draconic,,,Fire,,,,
Bronze Dragon Wyrmling,Medium,dragon,lawful good,17,32,"30 ft., fly 60 ft., swim 30 ft.",17,10,15,12,11,15,2,"DEX +2, CON +4, WIS +2, CHA +4",12,"Perception +4, Stealth +2","Blindsight 10 ft., Darkvision 60 ft.,  Passive Perception 14",Draconic,,,Lightning,,,,
Brown Bear,Large,beast,unaligned,11,34,"40 ft., climb 30 ft.",19,10,16,2,13,7,1,,0,Perception +3,Passive Perception 13,--,,,,,,,
Bugbear,Medium,humanoid,chaotic evil,16,27,30 ft.,15,14,13,8,11,9,1,,0,"Stealth +6, Survival +2","Darkvision 60 ft.,  Passive Perception 10","Common, Goblin",,,,,,,
Bulette,Large,monstrosity,unaligned,17,94,"40 ft., burrow 40 ft.",19,11,21,2,10,5,5,,0,Perception +6,"Darkvision 60 ft., Tremorsense 60 ft.,  Passive Perception 16",--,,,,,,,
Camel,Large,beast,unaligned,9,15,50 ft.,16,8,14,2,8,5,0.125,,0,,Passive Perception 9,--,,,,,,,
Cat,Tiny,beast,unaligned,12,2,"40 ft., climb 30 ft.",3,15,10,3,12,7,0,,0,"Perception +3, Stealth +4",Passive Perception 13,--,,,,,,,
Centaur,Large,monstrosity,neutral good,12,45,50 ft.,18,14,14,9,13,11,2,,0,"Athletics +6, Perception +3, Survival +3",Passive Perception 13,"Elvish, Sylvan",,,,,,,
Chain Devil,Medium,fiend,lawful evil,16,85,30 ft.,18,15,18,11,12,14,8,"CON +7, WIS +4, CHA +5",16,,"Darkvision 120 ft.,  Passive Perception 11","Infernal, Telepathy 120 ft.",,"Cold; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks that aren't Silvered","Fire, Poison",Poisoned,,,
Chimera,Large,monstrosity,chaotic evil,14,114,"30 ft., fly 60 ft.",19,11,19,3,14,10,6,,0,Perception +8,"Darkvision 60 ft.,  Passive Perception 18",Understands Draconic but can't speak  it,,,,,,,
Chuul,Large,aberration,chaotic evil,16,93,"30 ft., swim 30 ft.",19,10,16,5,11,5,4,,0,Perception +4,"Darkvision 60 ft.,  Passive Perception 14",Understands Deep Speech but can't speak,,,Poison,Poisoned,,,
Clay Golem,Large,construct,unaligned,14,133,20 ft.,20,9,18,3,8,1,9,,0,,"Darkvision 60 ft.,  Passive Perception 9",Understands the languages of its creator but can't speak,,,"Acid, Poison, Psychic; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks that aren't Adamantine","Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned",,,
Cloaker,Large,aberration,chaotic neutral,14,78,"10 ft., fly 40 ft.",17,15,12,13,12,14,8,,0,Stealth +5,"Darkvision 60 ft.,  Passive Perception 11","Deep Speech, Undercommon",,,,,,,
Cloud Giant,Huge,giant,neutral,14,200,40 ft.,27,10,22,12,16,16,9,"CON +10, WIS +7, CHA +7",15,"Insight +7, Perception +7",Passive Perception 17,"Common, Giant",,,,,,,
Cockatrice,Small,monstrosity,unaligned,11,27,"20 ft., fly 40 ft.",6,12,12,2,13,5,0.5,,0,,"Darkvision 60 ft.,  Passive Perception 11",--,,,,,,,
Commoner,Medium,humanoid,any alignment,10,4,30 ft.,10,10,10,10,10,10,0,,0,,Passive Perception 10,Any one language (usually Common),,,,,,,
Constrictor Snake,Large,beast,unaligned,12,13,"30 ft., swim 30 ft.",15,14,12,1,10,3,0.25,,0,,"Blindsight 10 ft.,  Passive Perception 10",--,,,,,,,
Copper Dragon Wyrmling,Medium,dragon,chaotic good,16,22,"30 ft., climb 30 ft., fly 60 ft.",15,12,13,14,11,13,1,"DEX +3, CON +3, WIS +2, CHA +3",11,"Perception +4, Stealth +3","Blindsight 10 ft., Darkvision 60 ft.,  Passive Perception 14",Draconic,,,Acid,,,,
Couatl,Medium,celestial,lawful good,19,97,"30 ft., fly 90 ft.",16,20,17,18,20,18,4,"CON +5, WIS +7, CHA +6",18,,"Truesight 120 ft.,  Passive Perception 15","All, Telepathy 120 ft.",,Radiant,"Psychic; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks",,,,
Crab,Tiny,beast,unaligned,11,2,"20 ft., swim 20 ft.",2,11,10,1,8,2,0,,0,Stealth +2,"Blindsight 30 ft.,  Passive Perception 9",--,,,,,,,
Crocodile,Large,beast,unaligned,12,19,"20 ft., swim 30 ft.",15,10,13,2,10,5,0.5,,0,Stealth +2,Passive Perception 10,--,,,,,,,
Cult Fanatic,Medium,humanoid,any non-good alignment,13,33,30 ft.,11,14,12,10,13,14,2,,0,"Deception +4, Persuasion +4, Religion +2",Passive Perception 11,Any one language (usually Common),,,,,,,
Cultist,Medium,humanoid,any non-good alignment,12,9,30 ft.,11,12,10,10,11,10,0.125,,0,"Deception +2, Religion +2",Passive Perception 10,Any one language (usually Common),,,,,,,
Cyclops,Huge,giant,chaotic neutral,14,138,30 ft.,22,11,20,8,6,10,6,,0,,Passive Perception 8,Giant,,,,,,,
Darkmantle,Small,monstrosity,unaligned,11,22,"10 ft., fly 30 ft.",16,12,13,2,10,5,0.5,,0,Stealth +3,"Blindsight 60 ft.,  Passive Perception 10",--,,,,,,,
Death Dog,Medium,monstrosity,neutral evil,12,39,40 ft.,15,14,14,3,13,6,1,,0,"Perception +5, Stealth +4","Darkvision 120 ft.,  Passive Perception 15",--,,,,,,,
Deep Gnome (Svirfneblin),Small,humanoid,neutral good,15,16,20 ft.,15,14,14,12,10,9,0.5,,0,"Investigation +3, Perception +2, Stealth +4","Darkvision 120 ft.,  Passive Perception 12","Gnomish, Terran, Undercommon",,,,,,,
Deer,Medium,beast,unaligned,13,4,50 ft.,11,16,11,2,14,5,0,,0,,Passive Perception 12,--,,,,,,,
Deva,Medium,celestial,lawful good,17,136,"30 ft., fly 90 ft.",18,18,18,17,20,20,10,"WIS +9, CHA +9",18,"Insight +9, Perception +9","Darkvision 120 ft.,  Passive Perception 19","All, Telepathy 120 ft.",,"Radiant; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks",,"Charmed, Exhaustion, Frightened",,,
Dire Wolf,Large,beast,unaligned,14,37,50 ft.,17,15,15,3,12,7,1,,0,"Perception +3, Stealth +4",Passive Perception 13,--,,,,,,,
Diseased Giant Rat,Small,beast,unaligned,12,7,30 ft.,7,15,11,2,10,4,0.125,,0,,"Darkvision 60 ft.,  Passive Perception 10",--,,,,,,,
Djinni,Large,elemental,chaotic good,17,161,"30 ft., fly 90 ft.",21,15,22,15,16,20,11,"DEX +6, WIS +7, CHA +9",22,,"Darkvision 120 ft.,  Passive Perception 13",Auran,,,"Lightning, Thunder",,,,
Doppelganger,Medium,monstrosity,neutral,14,52,30 ft.,11,18,14,11,12,14,3,,0,"Deception +6, Insight +3","Darkvision 60 ft.,  Passive Perception 11",Common,,,,Charmed,,,
Draft Horse,Large,beast,unaligned,10,19,40 ft.,18,10,12,2,11,7,0.25,,0,,Passive Perception 10,--,,,,,,,
Dragon Turtle,Gargantuan,dragon,neutral,20,341,"20 ft., swim 40 ft.",25,10,20,10,12,12,17,"DEX +6, CON +11, WIS +7",15,,"Darkvision 120 ft.,  Passive Perception 11","Aquan, Draconic",,Fire,,,,,
Dretch,Small,fiend,chaotic evil,11,18,20 ft.,11,11,12,5,8,3,0.25,,0,,"Darkvision 60 ft.,  Passive Perception 9","Abyssal, Telepathy 60 ft.",,"Cold, Fire, Lightning",Poison,Poisoned,,,
Drider,Large,monstrosity,chaotic evil,19,123,"30 ft., climb 30 ft.",16,16,18,13,14,12,6,,0,"Perception +5, Stealth +9","Darkvision 120 ft.,  Passive Perception 15","Elvish, Undercommon",,,,,,,
Drow,Medium,humanoid,neutral evil,15,13,30 ft.,10,14,10,11,11,12,0.25,,0,"Perception +2, Stealth +4","Darkvision 120 ft.,  Passive Perception 12","Elvish, Undercommon",,,,,,,
Druid,Medium,humanoid,any alignment,11,27,30 ft.,10,12,13,12,15,11,2,,0,"Medicine +4, Nature +3, Perception +4",Passive Perception 14,Druidic plus any two languages,,,,,,,
Dryad,Medium,fey,neutral,11,22,30 ft.,10,12,11,14,15,18,1,,0,"Perception +4, Stealth +5","Darkvision 60 ft.,  Passive Perception 14","Elvish, Sylvan",,,,,,,
Duergar,Medium,humanoid,lawful evil,16,26,25 ft.,14,11,14,11,10,9,1,,0,,"Darkvision 120 ft.,  Passive Perception 10","Dwarvish, Undercommon",,Poison,,,,,
Dust Mephit,Small,elemental,neutral evil,12,17,"30 ft., fly 30 ft.",5,14,10,9,11,10,0.5,,0,"Perception +2, Stealth +4","Darkvision 60 ft.,  Passive Perception 12","Auran, Terran",Fire,,Poison,Poisoned,,,
Eagle,Small,beast,unaligned,12,3,"10 ft., fly 60 ft.",6,15,10,2,14,7,0,,0,Perception +4,Passive Perception 14,--,,,,,,,
Earth Elemental,Large,elemental,neutral,17,126,"30 ft., burrow 30 ft.",20,8,20,5,10,5,5,,0,,"Darkvision 60 ft., Tremorsense 60 ft.,  Passive Perception 10",Terran,Thunder,"Bludgeoning, Piercing, and Slashing from Nonmagical Attacks",Poison,"Exhaustion, Paralyzed, Petrified, Poisoned, Unconscious",,,
Efreeti,Large,elemental,lawful evil,17,200,"40 ft., fly 60 ft.",22,12,24,16,15,16,11,"INT +7, WIS +6, CHA +7",20,,"Darkvision 120 ft.,  Passive Perception 12",Ignan,,,Fire,,,,
Elephant,Huge,beast,unaligned,12,76,40 ft.,22,9,17,3,11,6,4,,0,,Passive Perception 10,--,,,,,,,
Elk,Large,beast,unaligned,10,13,50 ft.,16,10,12,2,10,6,0.25,,0,,Passive Perception 10,--,,,,,,,
Erinyes,Medium,fiend,lawful evil,18,153,"30 ft., fly 60 ft.",18,16,18,14,14,18,12,"DEX +7, CON +8, WIS +6, CHA +8",29,,"Truesight 120 ft.,  Passive Perception 12","Infernal, Telepathy 120 ft.",,"Cold; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks that aren't Silvered","Fire, Poison",Poisoned,,,
Ettercap,Medium,monstrosity,neutral evil,13,44,"30 ft., climb 30 ft.",14,15,13,7,12,8,2,,0,"Perception +3, Stealth +4, Survival +3","Darkvision 60 ft.,  Passive Perception 13",--,,,,,,,
Ettin,Large,giant,chaotic evil,12,85,40 ft.,21,8,17,6,10,8,4,,0,Perception +4,"Darkvision 60 ft.,  Passive Perception 14","Giant, Orc",,,,,,,
Fire Elemental,Large,elemental,neutral,13,102,50 ft.,10,17,16,6,10,7,5,,0,,"Darkvision 60 ft.,  Passive Perception 10",Ignan,,"Bludgeoning, Piercing, and Slashing from Nonmagical Attacks","Fire, Poison","Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious",,,
Fire Giant,Huge,giant,lawful evil,18,162,30 ft.,25,9,23,10,14,13,9,"DEX +3, CON +10, CHA +5",9,"Athletics +11, Perception +6",Passive Perception 16,Giant,,,Fire,,,,
Flameskull,Tiny,undead,neutral evil,13,40,"0 ft., fly 40 ft. (hover)",1,17,14,16,10,11,4,,0,"Arcana +5, Perception +2","Darkvision 60 ft.,  Passive Perception 12",Common,,"Lightning, Necrotic, Piercing","Cold, Fire, Poison","Charmed, Frightened, Paralyzed, Poisoned, Prone",,,
Flesh Golem,Medium,construct,neutral,9,93,30 ft.,19,9,18,6,10,5,5,,0,,"Darkvision 60 ft.,  Passive Perception 10",Understands the languages of its creator but can't speak,,,"Lightning, Poison; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks that aren't Adamantine","Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned",,,
Flying Snake,Tiny,beast,unaligned,14,5,"30 ft., fly 60 ft., swim 30 ft.",4,18,11,2,12,5,0.125,,0,,"Blindsight 10 ft.,  Passive Perception 11",--,,,,,,,
Flying Sword,Small,construct,unaligned,17,17,"0 ft., fly 50 ft. (hover)",12,15,11,1,5,1,0.25,DEX +4,4,,"Blindsight 60 ft. (blind beyond this radius),  Passive Perception 7",--,,,"Poison, Psychic","Blinded, Charmed, Deafened, Frightened, Paralyzed, Petrified, Poisoned",,,
Frog,Tiny,beast,unaligned,11,1,"20 ft., swim 20 ft.",1,13,8,1,8,3,0,,0,"Perception +1, Stealth +3","Darkvision 30 ft.,  Passive Perception 11",--,,,,,,,
